Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2022,23,1,Sects & Violets,Good,13,,23,1,Alejo,ST,,,,23,1,N1,Sam,Minion Information,Standard,,,23,1,1,Stephen,Stephen,7,TRUE,TRUE,,23,1,1,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Stephen,Clockmaker,,FALSE,,23,1,N1,Lycan,Minion Information,Standard,,,23,1,2,Lyra,Lyra,3,FALSE,FALSE,,23,1,1,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Lyphoon,Snake Charmer,,FALSE,,23,1,N1,Michelle,Minion Information,Standard,,,23,1,3,Piranha,Piranha,1,FALSE,FALSE,,23,1,1,Michelle,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Tanfana,Flowergirl,,FALSE,,23,1,N1,Lyra,Demon Information,Standard,,,23,1,4,Lycan,Dice,2,FALSE,FALSE,,23,1,1,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Michelle,Cerenovus,,FALSE,,23,1,N1,Lyphoon,Snake Charmer Pick,Tanfana,,,23,1,5,Dice,Lycan,1,FALSE,FALSE,,23,1,1,Permzilla,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Piranha,Klutz,,TRUE,,23,1,N1,Lycan,Evil Twin Information,Dice,,,23,1,6,Lyphoon,Sam,1,FALSE,FALSE,,23,1,1,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Permzilla,Artist,,FALSE,,23,1,N1,Dice,Good Twin Information,Lycan,,,23,1,7,Piranha,Permzilla,4,FALSE,FALSE,,23,1,1,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Weaver,Philosopher,,FALSE,,23,1,N1,Michelle,Cerenovus Madness,Dice|Clockmaker,,,23,1,8,Lycan,Piranha,6,TRUE,TRUE,,23,1,1,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Jordan,Savant,,FALSE,,23,1,N1,Stephen,Clockmaker Number,2,,,23,1,9,Michelle,Lycan,4,FALSE,FALSE,,23,1,1,Sam,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Lycan,Evil Twin,,FALSE,,23,1,D1,Jordan,Savant Info,One of your neighbours is a minion|One of your neighbours was picked by a minion last night,,,23,1,10,Jordan,Tim,5,TRUE,FALSE,,23,1,1,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Sam,Pit-Hag,,FALSE,,23,1,D1,Stephen,Nomination,Stephen,V1,,23,1,11,Tim,Jordan,4,FALSE,FALSE,,23,1,1,Lyra,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Dice,Town Crier,,FALSE,,23,1,D1,Lyra,Nomination,Lyra,V2,,23,1,12,Permzilla,Weaver,3,FALSE,FALSE,,23,1,1,Tim,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Lyra,Fang Gu,,FALSE,,23,1,D1,Piranha,Nomination,Piranha,V3,,23,1,13,Weaver,Sam,7,TRUE,TRUE,,23,1,1,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Tim,Sage,,FALSE,,23,1,D1,Lycan,Nomination,Dice,V4,,23,1,14,Lycan,Permzilla,1,FALSE,FALSE,,23,1,2,Tim,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Bluff,Oracle,,,,23,1,D1,Dice,Nomination,Lycan,V5,,23,1,15,Michelle,Lyphoon,3,FALSE,FALSE,,23,1,2,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Bluff,Mathematician,,,,23,1,D1,Stephen,Executed,,,,23,1,16,Jordan,Michelle,3,FALSE,FALSE,,23,1,2,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,1,Bluff,Juggler,,,,23,1,N2,Lyphoon,Snake Charmer Pick,Tim,,,23,1,17,Tim,Jordan,3,FALSE,FALSE,,23,1,2,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Weaver,Philosopher Switch,Sage,,,23,1,18,Lycan,Dice,7,TRUE,FALSE,,23,1,2,Michelle,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Tim,Drunked,,,,23,1,19,Dice,Lycan,8,TRUE,TRUE,,23,1,2,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Michelle,Cerenovus Madness,Lycan|Clockmaker,,,,,,,,,,,,23,1,2,Permzilla,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Sam,Pit-Hag Pick,Sam,Pit-Hag,,,,,,,,,,,23,1,2,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Lyra,Demon Kill,Piranha,Fang Gu Jump,,,,,,,,,,,23,1,2,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Piranha,Role Change,Fang Gu,,,,,,,,,,,,23,1,2,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Piranha,Alignment Change,Evil,,,,,,,,,,,,23,1,2,Sam,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Tanfana,Flowergirl Information,Yes,,,,,,,,,,,,23,1,2,Dice,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,N2,Dice,Town Crier Information,Yes,,,,,,,,,,,,23,1,2,Lyra,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,D2,Permzilla,Artist Question,Is Dice the Evil Twin?|No,,,,,,,,,,,,23,1,3,Permzilla,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,23,1,D2,Jordan,Savant Info,Exactly 1 player picked you last night|At least 1 player is currently drunk or poisoned,,,,,,,,,,,,23,1,3,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
